"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Anritsu Mt8222A 100Khz-7.1Ghz Handheld Base Station Analyzer W/ Opts 25,31",P,AAQU527," ",Anritsu," ",Right,"<ul><li> Condition : Used  </li><li>Model : MT8222A</li><li>Product : Handheld Spectrum Analyzer</li><li>Installed Options : 5</li><li>MPN : MT8222A</li><li>Brand : Anritsu</li><li>Frequency Range : 100 kHz - 7.1 GHz</li></ul>",3570.00,3000,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/x0sAAOSwGadhUlwb/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bailey Infi-Net To Infi-Net Transfer Module Iniit03",P,AAQU673," ",Bailey," ",Right,"<ul><li> Condition : Used  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : mros10024617-INIIT03</li></ul>",3570.00,3000,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Brookfield Ct3 Texture Analyzer Ct3-1000 - Priced To Sell",P,AAQU715," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Non-Domestic Product : N/A</li><li>Applicable Regions : N/A</li><li>MPN : Does Not Apply</li><li>Brand : Brookfield</li><li>Bundle Listing : No</li></ul>",3570.00,3000,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/DfIAAOSwIUFi~nIN/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Brookfield Ct3 Texture Analyzer Model Ct31500115",P,AAQU717," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Brookfield</li></ul>",3570.00,3000,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/QXsAAOSw~oRhA-u1/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bird Sk-4000 Sitehawk Antenna And Cable Analyzer 85 Mhz To 4 Ghz",P,AAQU699," ","Bird "," ",Right,"<ul><li> Condition : Used  </li><li>Model : SK-4000</li><li>Product : Antenna and Cable Analyzer</li><li>Custom Bundle : No</li><li>Unit Type : SiteHawk</li><li>Brand : Bird</li><li>Frequency Range : 85 MHz to 4 GHz</li></ul>",3796.10,3190,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/6mUAAOSwrsVdcFrS/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent E4404B, 8 Opts, Preamp, Phase Noise, 6.7Ghz Spectrum Analyzer, Esa-E Hp",P,AAQU289," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>Model : E4404B</li><li>Country/Region of Manufacture : Unknown</li><li>Product : Benchtop Spectrum Analyzer</li><li>Installed Options : 1DS 1DR 226 B72 1D5 1D6 A4H  Freq. Exten</li><li>MPN : Does Not Apply</li><li>Brand : HP Agilent</li><li>Frequency Range : 9kHz to 6.5GHz</li></ul>",3867.50,3250,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/vQMAAOSwCIRib~iY/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ami 1000Rs Portable Trace O2 Analyzer.",P,AAQU446," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 1000RS</li><li>Brand : AMI</li></ul>",3867.50,3250,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/CbYAAOSwCq5ezp9n/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Anritsu Optical Spectrum Analyzer Ms-9703B Ms9030A",P,AAQU562," ",Anritsu," ",Right,"<ul><li> Condition : Used  </li><li>Model : ANRITSU MS-9703B MS9030A</li><li>Brand : Anritsu</li><li>MPN : MS-9703B MS-9030A</li><li>Modified Item : No</li></ul>",3925.81,3299,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/3H0AAOSwEjxi1D2v/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Audio Precision System Two -2222 +Dsp Sys2222 Audio Analyzer",P,AAQU639," ","Audio Precision"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : SYS2222</li><li>Brand : Audio Precision</li></ul>",3926.99,3299.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/RG8AAOSw~vZe9Dz6/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent Hewlett Packard Technologies 1693Ad Logic Analyzer",P,AAQU321," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>Model : Logic Analyzer</li><li>Brand : Agilent</li></ul>",3945.48,3315.53,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/txsAAOSwg4Ri0Bvv/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
